scanned,registrarname,domains,total_apwg,apwg_ratio
30-06-2014,rethemhosting,1805,7.0,0.387811634349
30-06-2014,tecnologiadesarrolloymercadosderldecv,852,0.0,0.0
30-06-2014,abughazalehintellectualpropertydbatagidomainscom,763,0.0,0.0
30-06-2014,azplrasia,104,0.0,0.0
30-06-2014,sssasss,30,0.0,0.0
30-06-2014,reservedinternetassignednumbersauthority,2,1.0,50.0
30-06-2015,shinjirumscsdnbhd,7226,0.0,0.0
30-06-2015,rethemhosting,1803,0.0,0.0
30-06-2015,tecnologiadesarrolloymercadosderldecv,1246,0.0,0.0
30-06-2015,upperlink,1007,0.0,0.0
30-06-2015,abughazalehintellectualpropertydbatagidomainscom,984,0.0,0.0
30-06-2015,azplrasia,80,0.0,0.0
30-06-2015,sssasss,61,0.0,0.0
30-06-2015,vodieninternetsolutionspterasia,12,0.0,0.0
30-06-2015,reservedinternetassignednumbersauthority,2,0.0,0.0
30-06-2016,shinjirumscsdnbhd,11918,0.0,0.0
30-06-2016,upperlink,3093,0.0,0.0
30-06-2016,rethemhosting,1733,0.0,0.0
30-06-2016,tecnologiadesarrolloymercadosderldecv,1414,0.0,0.0
30-06-2016,abughazalehintellectualpropertydbatagidomainscom,1166,0.0,0.0
30-06-2016,internetdomainservicebsrasia,399,0.0,0.0
30-06-2016,vodieninternetsolutionspterasia,13,0.0,0.0
30-06-2016,sssasss,6,0.0,0.0
30-06-2016,reservedinternetassignednumbersauthority,2,0.0,0.0
30-06-2016,azplrasia,2,0.0,0.0
31-12-2014,rethemhosting,2295,4.0,0.174291938998
31-12-2014,shinjirumscsdnbhd,2268,9.0,0.396825396825
31-12-2014,abughazalehintellectualpropertydbatagidomainscom,959,0.0,0.0
31-12-2014,tecnologiadesarrolloymercadosderldecv,937,3.0,0.320170757737
31-12-2014,upperlink,288,0.0,0.0
31-12-2014,azplrasia,103,1.0,0.970873786408
31-12-2014,sssasss,66,0.0,0.0
31-12-2014,reservedinternetassignednumbersauthority,2,0.0,0.0
31-12-2015,shinjirumscsdnbhd,11058,35.0,0.316512931814
31-12-2015,upperlink,2223,5.0,0.224921277553
31-12-2015,rethemhosting,1700,3.0,0.176470588235
31-12-2015,tecnologiadesarrolloymercadosderldecv,1313,0.0,0.0
31-12-2015,abughazalehintellectualpropertydbatagidomainscom,1171,10.0,0.853970964987
31-12-2015,sssasss,51,0.0,0.0
31-12-2015,azplrasia,23,0.0,0.0
31-12-2015,vodieninternetsolutionspterasia,13,0.0,0.0
31-12-2015,internetdomainservicebsrasia,11,0.0,0.0
31-12-2015,reservedinternetassignednumbersauthority,2,0.0,0.0
31-12-2016,shinjirumscsdnbhd,12661,57.0,0.450201405892
31-12-2016,upperlink,3669,5.0,0.136276914691
31-12-2016,rethemhosting,1970,26.0,1.31979695431
31-12-2016,tecnologiadesarrolloymercadosderldecv,1464,0.0,0.0
31-12-2016,abughazalehintellectualpropertydbatagidomainscom,1239,0.0,0.0
31-12-2016,internetdomainservicebsrasia,289,6.0,2.07612456747
31-12-2016,vodieninternetsolutionspterasia,78,0.0,0.0
31-12-2016,reservedinternetassignednumbersauthority,26,0.0,0.0
31-12-2016,sssasss,1,0.0,0.0
